fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id
terry-mclaurin,WR,14746,3121422.0,31908.0
cam-sims,WR,14411,3115314.0,31405.0
adam-humphries,WR,11826,2576491.0,29070.0
dyami-brown,WR,16309,4361577.0,33470.0
car-dst,DST,2332,-16009.0,100029.0
nyj-dst,DST,2349,-16020.0,100020.0
dal-dst,DST,2336,-16006.0,100006.0
jax-dst,DST,2342,-16030.0,100030.0
lar-dst,DST,2356,-16014.0,100014.0
pit-dst,DST,2352,-16023.0,100023.0
was-dst,DST,2359,-16028.0,100028.0
bal-dst,DST,2330,-16033.0,100033.0
tb-dst,DST,2357,-16027.0,100027.0
sf-dst,DST,2355,-16025.0,100025.0
ne-dst,DST,2346,-16017.0,100017.0
ind-dst,DST,2341,-16011.0,100011.0
buf-dst,DST,2331,-16002.0,100002.0
den-dst,DST,2337,-16007.0,100007.0
kc-dst,DST,2343,-16012.0,100012.0
mia-dst,DST,2344,-16015.0,100015.0
cle-dst,DST,2335,-16005.0,100005.0
no-dst,DST,2347,-16018.0,100018.0
lac-dst,DST,2353,-16024.0,100024.0
chi-dst,DST,2333,-16003.0,100003.0
gb-dst,DST,2339,-16009.0,100009.0
sea-dst,DST,2354,-16026.0,100026.0
min-dst,DST,2345,-16016.0,100016.0
ari-dst,DST,2328,-16022.0,100022.0
phi-dst,DST,2351,-16021.0,100021.0
nyg-dst,DST,2348,-16019.0,100019.0
ten-dst,DST,2358,-16010.0,100010.0
