fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id
ameer-abdullah,RB,11207,2576336.0,28442.0
dalvin-cook,RB,12929,3116593.0,30154.0
alexander-mattison,RB,14700,4048244.0,31934.0
brandon-dillon,TE,15092,4411192.0,32142.0
chris-herndon,TE,13886,3123050.0,31077.0
ben-ellefson,TE,16113,3930900.0,33124.0
tyler-conklin,TE,13980,3915486.0,31127.0
ihmir-smithmarsette,WR,16578,4240573.0,33545.0
kj-osborn,WR,15695,3916566.0,32846.0
adam-thielen,WR,9891,16460.0,27277.0
dede-westbrook,WR,13052,3892889.0,30223.0
justin-jefferson,WR,15540,4262921.0,32692.0
jakob-johnson,RB,14649,3115349.0,31826.0
nick-folk,K,4780,10621.0,8432.0
quinn-nordin,K,16725,4046532.0,33787.0
mac-jones,QB,16235,4241464.0,33403.0
james-white,RB,10475,16913.0,27658.0
damien-harris,RB,14712,3925347.0,31919.0
rhamondre-stevenson,RB,16339,4569173.0,33508.0
brandon-bolden,RB,9114,15478.0,26389.0
jj-taylor,RB,16076,4039607.0,33028.0
hunter-henry,TE,12088,3046439.0,29269.0
jonnu-smith,TE,12974,3054212.0,30213.0
devin-asiasi,TE,15614,4046522.0,32761.0
kendrick-bourne,WR,13364,3045523.0,30551.0
malcolm-perry,WR,15753,4039436.0,32916.0
jakobi-meyers,WR,14949,3916433.0,32231.0
gunner-olszewski,WR,15455,4424106.0,32612.0
nelson-agholor,WR,11178,2971618.0,28408.0
aldrick-rosas,K,12578,3068939.0,29949.0
jameis-winston,QB,11183,2969939.0,28389.0
taysom-hill,QB,13653,2468609.0,30614.0
tony-jones-rb,RB,16039,4046676.0,33114.0
alvin-kamara,RB,12965,3054850.0,30180.0
dwayne-washington,RB,12247,3002265.0,29470.0
adam-trautman,TE,15575,3911853.0,32775.0
juwan-johnson,TE,16036,3929645.0,33113.0
garrett-griffin,TE,12789,2987440.0,30024.0
ty-montgomery,WR,11213,2577134.0,28482.0
kadarius-toney,WR,16251,4240600.0,33408.0
deonte-harris,WR,15154,4411193.0,32398.0
liljordan-humphrey,WR,15148,4039057.0,32494.0
chris-hogan,WR,8246,14402.0,25178.0
marquez-callaway,WR,16044,4035170.0,33109.0
cullen-gillaspia,RB,14869,3122143.0,32052.0
graham-gano,K,6304,12460.0,9526.0
daniel-jones,QB,14668,3917792.0,31838.0
mike-glennon,QB,9390,15837.0,26696.0
devontae-booker,RB,12151,3122866.0,29370.0
elijhaa-penny,RB,12691,2575965.0,29906.0
taquan-mizzell,RB,13428,3048680.0,900125.0
gary-brightwell,RB,16461,4245645.0,33584.0
saquon-barkley,RB,13778,3929630.0,30972.0
kyle-rudolph,TE,7444,14054.0,24830.0
kaden-smith,TE,14806,4044452.0,32008.0
darius-slayton,WR,14833,3916945.0,32003.0
dante-pettis,WR,13816,3127306.0,31014.0
sterling-shepard,WR,12058,2976592.0,29274.0
kenny-golladay,WR,12963,2974858.0,30209.0
matt-ammendola,K,16225,3919602.0,33381.0
zach-wilson,QB,16233,4361259.0,33390.0
ty-johnson,RB,14842,3915411.0,32018.0
michael-carter-rb,RB,16618,4240657.0,33495.0
lamical-perine,RB,15723,4034952.0,32790.0
tevin-coleman,RB,11188,2979477.0,28461.0
josh-adams,RB,14070,3932420.0,31567.0
tyler-kroft,TE,11199,2582410.0,28473.0
trevon-wesco,TE,14756,4039253.0,31953.0
ryan-griffin,TE,9458,15887.0,26824.0
corey-davis,WR,12913,3042778.0,30118.0
jamison-crowder,WR,11398,2576716.0,28493.0
keelan-cole,WR,13261,3071572.0,30396.0
braxton-berrios,WR,13909,3123075.0,31180.0
dj-montgomery,WR,15311,4249030.0,32283.0
jeff-smith,WR,15077,3929118.0,32533.0
denzel-mims,WR,15613,4035403.0,32729.0
elijah-moore,WR,16265,4372414.0,33422.0
jake-elliott,K,13035,3050478.0,30266.0
jalen-hurts,QB,15581,4040715.0,32723.0
gardner-minshew,QB,14860,4038524.0,32010.0
kenneth-gainwell,RB,16480,4371733.0,33538.0
miles-sanders,RB,14745,4045163.0,31885.0
